Day 6 | Day 5 | Name             | TS | W - L | Updated | Lifeforce
728   | 742   | Yonah            | 7  | 3 - 3 | Yes     | 7,147,507
729   | 743   | Rebirth          | 6  | 3 - 3 | Yes     | 7,147,246
730   | 614   | Plague           | 1  | 3 - 3 | Yes     | 7,145,268
731   | 744   | Plague           | 1  | 3 - 3 | Yes     | 7,145,268
732   | 625   | Nocturne         | 7  | 3 - 3 | Yes     | 7,142,408
733   | 745   | Nocturne         | 7  | 3 - 3 | Yes     | 7,142,408
734   | 746   | Rheita           | 11  | 3 - 3 | Yes     | 7,121,617
735   | 747   | Fateful          | 7  | 4 - 2 | Yes     | 7,113,456
736   | 650   | WeebsIn          | 9  | 3 - 3 | Yes     | 7,107,654
737   | 748   | WeebsIn          | 9  | 3 - 3 | Yes     | 7,107,654
738   | 589   | Chaldea          | 7  | 3 - 3 | Yes     | 7,103,189
739   | 749   | Chaldea          | 7  | 3 - 3 | Yes     | 7,103,189
740   | 622   | Sino/Fgo         | 8  | 3 - 3 | Yes     | 7,102,868
741   | 750   | Sino/Fgo         | 8  | 3 - 3 | Yes     | 7,102,868
742   | 643   | StarryNight      | 13  | 3 - 3 | Yes     | 7,099,348
743   | 751   | StarryNight      | 13  | 3 - 3 | Yes     | 7,099,348
744   | 619   | 은하수의밤            | 11  | 3 - 3 | Yes     | 7,075,752
745   | 752   | 은하수의밤            | 11  | 3 - 3 | Yes     | 7,075,752
746   | 753   | SHIRI            | 1  | 3 - 3 | Yes     | 7,073,936
747   | 754   | Aiseiri          | 8  | 2 - 4 | Yes     | 7,070,970
748   | 755   | Log~Horizon      | 8  | 3 - 3 | Yes     | 7,069,562
749   | 587   | GachaElite       | 8  | 3 - 3 | Yes     | 7,064,667
750   | 756   | GachaElite       | 8  | 3 - 3 | Yes     | 7,064,667
751   | 757   | GLUTTONY         | 4  | 3 - 3 | Yes     | 7,057,817
752   | 758   | Sleepers         | 4  | 4 - 2 | Yes     | 7,055,108
753   | 759   | Kukki            | 5  | 3 - 3 | Yes     | 7,048,449
754   | 760   | Mementos         | 13  | 3 - 3 | Yes     | 7,048,141
755   | 761   | Eden             | 9  | 3 - 3 | Yes     | 7,025,439
756   | 762   | 쌀롱               | 11  | 4 - 2 | Yes     | 7,001,055
757   | 763   | Kurobara         | 9  | 2 - 4 | Yes     | 6,996,105
758   | 599   | D.InVivo         | 10  | 2 - 4 | Yes     | 6,979,469
759   | 764   | D.InVivo         | 10  | 2 - 4 | Yes     | 6,979,469
760   | 765   | Delirios         | 8  | 3 - 3 | Yes     | 6,976,010
761   | 766   | NoLuck           | 3  | 3 - 3 | Yes     | 6,962,852
762   | 767   | Papeefs          | 8  | 2 - 4 | Yes     | 6,960,392
763   | 768   | MidnightSnacks   | 4  | 3 - 3 | Yes     | 6,959,924
764   | 769   | LWSR             | 1  | 3 - 3 | Yes     | 6,945,616
765   | 770   | Zodiac           | 8  | 4 - 2 | Yes     | 6,942,982
766   | 771   | Potatoes         | 10  | 3 - 3 | Yes     | 6,932,311
767   | 772   | NotW             | 8  | 2 - 4 | Yes     | 6,930,997
768   | 773   | Vermouth         | 4  | 3 - 3 | Yes     | 6,930,063
769   | 774   | TheRealChaldea   | 9  | 3 - 3 | Yes     | 6,917,510
770   | 775   | \Woska~Woska/    | 9  | 4 - 2 | Yes     | 6,912,705
771   | 776   | History          | 2  | 3 - 3 | Yes     | 6,912,339
772   | 777   | Nekopara         | 8  | 2 - 4 | Yes     | 6,907,448
773   | 778   | Marchen          | 6  | 3 - 3 | Yes     | 6,902,812
774   | 620   | Fabales          | 8  | 2 - 4 | Yes     | 6,899,034
775   | 779   | Fabales          | 8  | 2 - 4 | Yes     | 6,899,034
776   | 780   | SkyPlus          | 8  | 3 - 3 | Yes     | 6,897,232
777   | 781   | P.o.c.           | 5  | 4 - 2 | Yes     | 6,876,705
778   | 782   | Nomlings         | 3  | 3 - 3 | Yes     | 6,875,692
779   | 783   | BlueStar         | 6  | 3 - 3 | Yes     | 6,865,758
780   | 784   | 「XIII」           | 1  | 4 - 2 | Yes     | 6,850,753
781   | 637   | Moonlight        | 3  | 3 - 3 | Yes     | 6,845,473
782   | 785   | Moonlight        | 3  | 3 - 3 | Yes     | 6,845,473
783   | 786   | CultOfLammy      | 12  | 3 - 3 | Yes     | 6,842,029
784   | 787   | Æsir             | 10  | 3 - 3 | Yes     | 6,835,125
785   | 788   | Kingdom          | 9  | 3 - 3 | Yes     | 6,822,718
786   | 789   | CRIMSON          | 9  | 3 - 3 | Yes     | 6,815,784
787   | 790   | Scindo           | 6  | 3 - 3 | Yes     | 6,808,453
788   | 791   | Ragnarök         | 5  | 2 - 4 | Yes     | 6,808,058
789   | 792   | Phantasmagoria   | 5  | 3 - 3 | Yes     | 6,805,018
790   | 793   | Oppai            | 5  | 4 - 2 | Yes     | 6,790,373
791   | 794   | Thirteen         | 10  | 2 - 4 | Yes     | 6,780,921
792   | 795   | LGOW             | 7  | 3 - 3 | Yes     | 6,775,550
793   | 640   | ChilePog         | 6  | 3 - 3 | Yes     | 6,772,084
794   | 796   | ChilePog         | 6  | 3 - 3 | Yes     | 6,772,084
795   | 797   | ☬H̷E̷L̷D̷E̷N̷☬   | 10  | 3 - 3 | Yes     | 6,761,902
796   | 627   | Anasnas          | 5  | 3 - 3 | Yes     | 6,755,893
797   | 798   | Anasnas          | 5  | 3 - 3 | Yes     | 6,755,893
798   | 799   | Madness          | 7  | 3 - 3 | Yes     | 6,724,688
799   | 800   | Walhalla         | 4  | 3 - 3 | Yes     | 6,694,574
800   | 801   | Oblivion         | 10  | 3 - 3 | Yes     | 6,689,389
801   | 802   | LoVirgos         | 7  | 2 - 4 | Yes     | 6,689,208
802   | 803   | Grimson          | 9  | 3 - 3 | Yes     | 6,672,317
803   | 804   | RedHood          | 4  | 2 - 4 | Yes     | 6,662,242
804   | 805   | Ultimate☆Despair | 8  | 3 - 3 | Yes     | 6,638,061
805   | 806   | Réplicas         | 5  | 2 - 4 | Yes     | 6,637,762
806   | 639   | Waifus♡          | 4  | 3 - 3 | Yes     | 6,631,630
807   | 807   | Waifus♡          | 4  | 3 - 3 | Yes     | 6,631,630
808   | 808   | Firebois         | 9  | 4 - 2 | Yes     | 6,630,898
809   | 809   | Palantir         | 9  | 2 - 4 | Yes     | 6,621,974
810   | 810   | Shadowbringers   | 9  | 2 - 4 | Yes     | 6,604,953
811   | 811   | Angel'sTear      | 7  | 2 - 4 | Yes     | 6,601,246
812   | 812   | .izakaya         | 8  | 2 - 4 | Yes     | 6,589,184
813   | 813   | Brigandia        | 8  | 3 - 3 | Yes     | 6,586,971
814   | 814   | 휴식의정원            | 11  | 2 - 4 | Yes     | 6,586,368
815   | 815   | ASTEÂ            | 6  | 3 - 3 | Yes     | 6,581,389
816   | 816   | Morisión         | 9  | 3 - 3 | Yes     | 6,579,673
817   | 817   | TheFellowship    | 5  | 4 - 2 | Yes     | 6,571,507
818   | 818   | EatSh1tVeronica! | 13  | 3 - 3 | Yes     | 6,562,395
819   | 819   | Adagyum          | 7  | 2 - 4 | Yes     | 6,560,754
820   | 820   | Neo-Axiom        | 11  | 3 - 3 | Yes     | 6,547,318
821   | 821   | 수상한암살            | 13  | 3 - 3 | Yes     | 6,541,314
822   | 822   | RainyDay         | 13  | 3 - 3 | Yes     | 6,533,034
823   | 823   | MiniDictadura    | 9  | 3 - 3 | Yes     | 6,528,605
824   | 824   | DeathBy7         | 3  | 2 - 4 | Yes     | 6,525,869
825   | 825   | -F-              | 13  | 3 - 3 | Yes     | 6,503,954
826   | 826   | Pulveris         | 2  | 4 - 2 | Yes     | 6,502,503
827   | 827   | SonsOfAnarchy    | 8  | 3 - 3 | Yes     | 6,493,692
828   | 828   | KurUsagi         | 3  | 3 - 3 | Yes     | 6,493,677
829   | 829   | Arcadia          | 12  | 2 - 4 | Yes     | 6,489,831
830   | 830   | 시붕유치원            | 12  | 3 - 3 | Yes     | 6,486,915
831   | 831   | Exyclid          | 12  | 3 - 3 | Yes     | 6,486,480
832   | 832   | Argonaut         | 11  | 3 - 3 | Yes     | 6,478,479
833   | 833   | Elite|Monkey     | 5  | 3 - 3 | Yes     | 6,473,494
834   | 834   | Tenebris         | 4  | 3 - 3 | Yes     | 6,470,314
835   | 835   | Nazarick         | 6  | 3 - 3 | Yes     | 6,461,592
836   | 836   | Chaldea          | 10  | 3 - 3 | Yes     | 6,449,992
837   | 837   | Wadjet           | 6  | 3 - 3 | Yes     | 6,441,271
838   | 838   | Publisher        | 12  | 3 - 3 | Yes     | 6,434,332
839   | 839   | Simylac          | 4  | 3 - 3 | Yes     | 6,415,602
840   | 840   | /pantsu/         | 3  | 2 - 4 | Yes     | 6,408,037
841   | 841   | SINoMAKE         | 11  | 2 - 4 | Yes     | 6,386,742
842   | 842   | Mantap           | 12  | 3 - 3 | Yes     | 6,379,760
843   | 843   | Dingusi          | 3  | 3 - 3 | Yes     | 6,375,274
844   | 844   | TheNiers         | 5  | 3 - 3 | Yes     | 6,363,708
845   | 845   | BadMojo          | 3  | 3 - 3 | Yes     | 6,363,435
846   | 846   | %=^✓÷×=][*)      | 7  | 3 - 3 | Yes     | 6,361,408
847   | 847   | Folklore         | 5  | 4 - 2 | Yes     | 6,358,561
848   | 848   | Miracles         | 7  | 2 - 4 | Yes     | 6,357,926
849   | 849   | IV-RP            | 3  | 3 - 3 | Yes     | 6,355,323
850   | 850   | Archana          | 12  | 2 - 4 | Yes     | 6,352,918
851   | 851   | Decaídos         | 7  | 2 - 4 | Yes     | 6,349,435
852   | 852   | ExileAngels      | 8  | 3 - 3 | Yes     | 6,342,070
853   | 853   | Longinus         | 12  | 3 - 3 | Yes     | 6,329,600
854   | 854   | Autores          | 8  | 3 - 3 | Yes     | 6,312,089
855   | 855   | LunarTearSociety | 8  | 3 - 3 | Yes     | 6,306,467
856   | 856   | ValeofCrab       | 8  | 2 - 4 | Yes     | 6,305,989
857   | 857   | Nimbus           | 5  | 3 - 3 | Yes     | 6,282,277
858   | 858   | BlueMoon         | 3  | 3 - 3 | Yes     | 6,280,625
859   | 859   | Altea            | 10  | 2 - 4 | Yes     | 6,275,774
860   | 860   | Fidelis          | 5  | 3 - 3 | Yes     | 6,249,386
861   | 861   | Bacurau          | 7  | 2 - 4 | Yes     | 6,240,599
862   | 862   | Nectar           | 10  | 3 - 3 | Yes     | 6,224,984
863   | 863   | Bloodlust        | 8  | 2 - 4 | Yes     | 6,224,443
864   | 864   | 펭귄로지스틱스          | 12  | 2 - 4 | Yes     | 6,218,392
865   | 865   | 4Taro            | 4  | 2 - 4 | Yes     | 6,212,885
866   | 866   | Phoenix          | 6  | 2 - 4 | Yes     | 6,211,725
867   | 867   | BanVaeN          | 13  | 3 - 3 | Yes     | 6,208,063
868   | 868   | Reverie          | 11  | 3 - 3 | Yes     | 6,198,763
869   | 869   | CerealKillerClub | 4  | 2 - 4 | Yes     | 6,192,384
870   | 870   | Fallen           | 2  | 3 - 3 | Yes     | 6,190,135
871   | 871   | RIDENAYA         | 4  | 3 - 3 | Yes     | 6,186,661
872   | 872   | Dreamers         | 7  | 3 - 3 | Yes     | 6,173,501
873   | 873   | Avalon           | 3  | 2 - 4 | Yes     | 6,173,068
874   | 874   | Faith            | 3  | 3 - 3 | Yes     | 6,162,452
875   | 875   | Camelot          | 12  | 4 - 2 | Yes     | 6,158,337
876   | 876   | MajinGod         | 9  | 3 - 3 | Yes     | 6,146,660
877   | 877   | Tranquil         | 13  | 3 - 3 | Yes     | 6,143,411
878   | 878   | Chaldea          | 5  | 2 - 4 | Yes     | 6,142,966
879   | 879   | Potatoes         | 4  | 3 - 3 | Yes     | 6,142,052
880   | 880   | NoppaiGG         | 1  | 3 - 3 | Yes     | 6,139,959
881   | 881   | Ezerien          | 11  | 2 - 4 | Yes     | 6,138,418
882   | 882   | Moonlit⭐         | 4  | 3 - 3 | Yes     | 6,103,691
883   | 883   | Gkilling         | 13  | 3 - 3 | Yes     | 6,091,007
884   | 884   | MoonFall         | 10  | 3 - 3 | Yes     | 6,089,984
885   | 885   | Valkyries        | 5  | 3 - 3 | Yes     | 6,081,345
886   | 886   | Amaurot          | 3  | 3 - 3 | Yes     | 6,070,507
887   | 887   | *SnowRedTears*   | 9  | 3 - 3 | Yes     | 6,068,897
888   | 888   | Solaris          | 9  | 3 - 3 | Yes     | 6,066,863
889   | 889   | Lunar            | 1  | 3 - 3 | Yes     | 6,058,415
890   | 890   | E-Girls          | 10  | 2 - 4 | Yes     | 6,055,476
891   | 891   | SkyL-YRH         | 8  | 2 - 4 | Yes     | 6,053,650
892   | 892   | tutelage         | 2  | 3 - 3 | Yes     | 6,045,569
893   | 893   | Revenant         | 5  | 3 - 3 | Yes     | 6,040,789
894   | 894   | Märchen          | 7  | 4 - 2 | Yes     | 6,037,548
895   | 895   | Inkwell          | 9  | 3 - 3 | Yes     | 6,032,802
896   | 896   | KuroNeko         | 13  | 3 - 3 | Yes     | 6,031,886
897   | 897   | Baneados         | 7  | 3 - 3 | Yes     | 6,025,330
898   | 898   | Elegiac          | 6  | 4 - 2 | Yes     | 6,022,057
899   | 899   | Intoners         | 4  | 4 - 2 | Yes     | 6,016,221
900   | 900   | BlueRain         | 9  | 2 - 4 | Yes     | 6,008,902
901   | 901   | UncleZack's      | 12  | 3 - 3 | Yes     | 6,000,883
902   | 902   | Orchid           | 13  | 3 - 3 | Yes     | 5,983,973
903   | 903   | Teardrop         | 1  | 2 - 4 | Yes     | 5,963,786
904   | 904   | TowerOfGod       | 4  | 3 - 3 | Yes     | 5,962,788
905   | 905   | Automata         | 11  | 3 - 3 | Yes     | 5,953,808
906   | 906   | YoRHa            | 3  | 3 - 3 | Yes     | 5,947,005
907   | 907   | NoLuck           | 6  | 3 - 3 | Yes     | 5,908,093
908   | 908   | Avernus          | 11  | 3 - 3 | Yes     | 5,906,137
909   | 909   | (^¶ω¶^✿)stic     | 8  | 3 - 3 | Yes     | 5,902,296
910   | 910   | Stérimar         | 4  | 4 - 2 | Yes     | 5,901,238
911   | 911   | Silencer         | 7  | 3 - 3 | Yes     | 5,901,139
912   | 912   | Skyhigh          | 10  | 3 - 3 | Yes     | 5,896,223
913   | 913   | Saucisse         | 5  | 2 - 4 | Yes     | 5,895,362
914   | 914   | Svadesha         | 12  | 3 - 3 | Yes     | 5,886,982
915   | 915   | Waifu            | 10  | 3 - 3 | Yes     | 5,881,968
916   | 916   | Isocial          | 13  | 3 - 3 | Yes     | 5,852,496
917   | 917   | Crown​           | 13  | 3 - 3 | Yes     | 5,847,387
918   | 918   | Nacre            | 5  | 3 - 3 | Yes     | 5,844,684
919   | 919   | Golden•Dawn      | 8  | 2 - 4 | Yes     | 5,843,825
920   | 920   | Chaldea          | 3  | 2 - 4 | Yes     | 5,840,584
921   | 921   | Shuuba~          | 1  | 3 - 3 | Yes     | 5,835,155
922   | 922   | Trident          | 12  | 3 - 3 | Yes     | 5,829,457
923   | 923   | Bouken           | 6  | 3 - 3 | Yes     | 5,820,514
924   | 924   | FeshFesh         | 10  | 2 - 4 | Yes     | 5,817,836
925   | 925   | WatameKoujou◉ᴥ◉  | 10  | 2 - 4 | Yes     | 5,815,628
926   | 926   | Babel            | 5  | 3 - 3 | Yes     | 5,805,973
927   | 927   | Celestia         | 3  | 3 - 3 | Yes     | 5,788,511
928   | 928   | Fallacy          | 13  | 2 - 4 | Yes     | 5,783,083
929   | 929   | Cococabra        | 6  | 2 - 4 | Yes     | 5,779,367
930   | 930   | Heaven           | 9  | 1 - 5 | Yes     | 5,773,988
931   | 931   | ＵｗＵ_Ｌａｎｄギルド      | 9  | 2 - 4 | Yes     | 5,772,190
932   | 932   | TGM              | 10  | 3 - 3 | Yes     | 5,762,476
933   | 933   | Sınners          | 11  | 2 - 4 | Yes     | 5,758,004
934   | 934   | ChumBuds         | 9  | 3 - 3 | Yes     | 5,757,711
935   | 935   | CookieClub       | 8  | 3 - 3 | Yes     | 5,750,119
936   | 936   | ╬MatureBearsメ    | 8  | 3 - 3 | Yes     | 5,729,855
937   | 937   | pepegang         | 1  | 2 - 4 | Yes     | 5,729,503
938   | 938   | SINNERS          | 9  | 3 - 3 | Yes     | 5,719,519
939   | 939   | Renacer          | 6  | 3 - 3 | Yes     | 5,685,583
940   | 940   | NieR             | 12  | 3 - 3 | Yes     | 5,675,449
941   | 941   | BLACKPAGE        | 1  | 3 - 3 | Yes     | 5,672,660
942   | 942   | Suikoden         | 5  | 2 - 4 | Yes     | 5,670,521
943   | 943   | 69Degrees        | 11  | 3 - 3 | Yes     | 5,663,053
944   | 944   | Worries          | 5  | 1 - 5 | Yes     | 5,658,763
945   | 945   | Vestalis         | 5  | 3 - 3 | Yes     | 5,657,675
946   | 946   | Eternity         | 3  | 3 - 3 | Yes     | 5,640,424
947   | 947   | Ψ☆Nefilims☆Ψ     | 8  | 2 - 4 | Yes     | 5,631,998
948   | 948   | HYDRA            | 11  | 3 - 3 | Yes     | 5,618,627
949   | 949   | Therapy          | 5  | 3 - 3 | Yes     | 5,617,199
950   | 950   | Indo.Nesia       | 1  | 2 - 4 | Yes     | 5,616,122
951   | 951   | YoRHa            | 4  | 2 - 4 | Yes     | 5,610,661
952   | 952   | Zenith           | 10  | 4 - 2 | Yes     | 5,606,270
953   | 953   | SINoPORE         | 13  | 2 - 4 | Yes     | 5,594,424
954   | 954   | Silver_Kinshi    | 6  | 3 - 3 | Yes     | 5,573,144
955   | 955   | Mahjong          | 1  | 3 - 3 | Yes     | 5,564,544
956   | 956   | Passione         | 11  | 3 - 3 | Yes     | 5,564,157
957   | 957   | TeaParty         | 4  | 2 - 4 | Yes     | 5,562,436
958   | 958   | CrimsonRose      | 8  | 3 - 3 | Yes     | 5,509,090
959   | 959   | Scarlet          | 13  | 2 - 4 | Yes     | 5,509,064
960   | 960   | Artemis          | 9  | 3 - 3 | Yes     | 5,484,752
961   | 961   | Rubies           | 12  | 2 - 4 | Yes     | 5,482,681
962   | 962   | NoEsc            | 6  | 2 - 4 | Yes     | 5,448,306
963   | 963   | Oblivion         | 7  | 2 - 4 | Yes     | 5,443,623
964   | 964   | Cynical          | 10  | 3 - 3 | Yes     | 5,425,272
965   | 965   | Iluminate        | 9  | 2 - 4 | Yes     | 5,421,991
966   | 966   | Infernos         | 10  | 2 - 4 | Yes     | 5,420,278
967   | 967   | Ambition         | 2  | 3 - 3 | Yes     | 5,406,031
968   | 968   | MayoVerse        | 9  | 2 - 4 | Yes     | 5,398,531
969   | 969   | UwU              | 10  | 2 - 4 | Yes     | 5,396,044
970   | 970   | Elfrinia         | 12  | 2 - 4 | Yes     | 5,393,145
971   | 971   | Neptunia         | 3  | 4 - 2 | Yes     | 5,392,307
972   | 972   | Baganzia         | 5  | 3 - 3 | Yes     | 5,388,313
973   | 973   | Rutledge         | 1  | 2 - 4 | Yes     | 5,373,789
974   | 974   | Starlings        | 10  | 2 - 4 | Yes     | 5,373,031
975   | 975   | Rice             | 4  | 3 - 3 | Yes     | 5,364,782
976   | 976   | MassDestruction  | 12  | 3 - 3 | Yes     | 5,353,860
977   | 977   | YoRHa            | 8  | 3 - 3 | Yes     | 5,345,207
978   | 978   | Hysteria         | 4  | 3 - 3 | Yes     | 5,342,878
979   | 979   | YoRNyx           | 10  | 2 - 4 | Yes     | 5,332,781
980   | 980   | GrimGrimoire[α]  | 13  | 2 - 4 | Yes     | 5,327,489
981   | 981   | Hylia            | 8  | 3 - 3 | Yes     | 5,320,646
982   | 982   | Chilezuela       | 7  | 2 - 4 | Yes     | 5,312,758
983   | 983   | Juicy            | 4  | 2 - 4 | Yes     | 5,303,300
984   | 984   | YoRHa            | 5  | 3 - 3 | Yes     | 5,288,985
985   | 985   | Feywilds         | 7  | 2 - 4 | Yes     | 5,288,181
986   | 986   | Dito's           | 9  | 3 - 3 | Yes     | 5,281,419
987   | 987   | FreshSuh-Lammy   | 4  | 3 - 3 | Yes     | 5,274,661
988   | 988   | CoM              | 8  | 3 - 3 | Yes     | 5,259,659
989   | 989   | CHALDEA          | 13  | 2 - 4 | Yes     | 5,239,878
990   | 990   | Saikyou~         | 12  | 3 - 3 | Yes     | 5,239,590
991   | 991   | Yorozuya         | 1  | 3 - 3 | Yes     | 5,233,651
992   | 992   | Darkborn         | 3  | 2 - 4 | Yes     | 5,216,850
993   | 993   | Illigia          | 5  | 3 - 3 | Yes     | 5,208,023
994   | 994   | Omniacs          | 7  | 3 - 3 | Yes     | 5,205,510
995   | 995   | Myrmidon         | 6  | 3 - 3 | Yes     | 5,193,070
996   | 996   | SINoFACE         | 3  | 3 - 3 | Yes     | 5,189,597
997   | 997   | LunaNova         | 5  | 2 - 4 | Yes     | 5,177,842
998   | 998   | Ashurã           | 13  | 2 - 4 | Yes     | 5,176,219
999   | 999   | Shinigami's      | 8  | 2 - 4 | Yes     | 5,172,444
1000  | 1000  | Grimm            | 5  | 3 - 3 | Yes     | 5,165,601
1001  | 1001  | Kaminari         | 11  | 3 - 3 | Yes     | 5,138,610
1002  | 1002  | Mishy~☆          | 7  | 2 - 4 | Yes     | 5,120,783
1003  | 1003  | ItWasMe,DIO!     | 7  | 3 - 3 | Yes     | 5,119,819
1004  | 1004  | 콜로세움하자           | 13  | 2 - 4 | Yes     | 5,096,916
1005  | 1005  | Anon             | 12  | 3 - 3 | Yes     | 5,095,597
1006  | 1006  | Arunafel         | 13  | 2 - 4 | Yes     | 5,090,240
1007  | 1007  | CatsEmpire       | 12  | 3 - 3 | Yes     | 5,089,997
1008  | 1008  | BlueRose         | 4  | 2 - 4 | Yes     | 5,068,693
1009  | 1009  | Dragon           | 1  | 3 - 3 | Yes     | 5,050,613
1010  | 1010  | エロすぎる            | 8  | 3 - 3 | Yes     | 5,046,747
1011  | 1011  | Halucyon         | 12  | 2 - 4 | Yes     | 5,041,597
1012  | 1012  | RaviGang         | 9  | 3 - 3 | Yes     | 5,040,745
1013  | 1013  | ส้มป่อย          | 1  | 2 - 4 | Yes     | 5,030,255
1014  | 1014  | Ayuyumis         | 9  | 3 - 3 | Yes     | 5,028,764
1015  | 1015  | YumeNoKoe        | 5  | 2 - 4 | Yes     | 5,026,504
1016  | 1016  | FInALICE         | 2  | 2 - 4 | Yes     | 5,003,049
1017  | 1017  | 시린이날             | 11  | 3 - 3 | Yes     | 4,996,666
1018  | 1018  | KHAMJA           | 6  | 3 - 3 | Yes     | 4,985,677
1019  | 1019  | Database         | 8  | 3 - 3 | Yes     | 4,983,822
1020  | 1020  | TheMancos        | 10  | 2 - 4 | Yes     | 4,947,211
1021  | 1021  | MasochistPhoenix | 4  | 2 - 4 | Yes     | 4,945,029
1022  | 1022  | ~Rankers~        | 6  | 3 - 3 | Yes     | 4,937,640
1023  | 1023  | EclataxX         | 4  | 2 - 4 | Yes     | 4,919,137
1024  | 1024  | DaiDark          | 2  | 3 - 3 | Yes     | 4,918,838
1025  | 1025  | Cronoire         | 1  | 2 - 4 | Yes     | 4,903,446
1026  | 1026  | Zephyr           | 5  | 2 - 4 | Yes     | 4,896,356
1027  | 1027  | Fanelia          | 12  | 2 - 4 | Yes     | 4,893,274
1028  | 1028  | Pathos           | 9  | 3 - 3 | Yes     | 4,883,136
1029  | 1029  | AXIS             | 11  | 2 - 4 | Yes     | 4,872,007
1030  | 1030  | Mensis           | 2  | 3 - 3 | Yes     | 4,865,180
1031  | 1031  | Igallta          | 6  | 3 - 3 | Yes     | 4,856,371
1032  | 1032  | Somnia           | 9  | 3 - 3 | Yes     | 4,849,580
1033  | 1033  | Lolicon          | 5  | 2 - 4 | Yes     | 4,832,742
1034  | 1034  | Lollipop         | 8  | 3 - 3 | Yes     | 4,815,925
1035  | 1035  | Memoire          | 1  | 3 - 3 | Yes     | 4,814,604
1036  | 1036  | Valhöll          | 5  | 3 - 3 | Yes     | 4,812,335
1037  | 1037  | TornTale         | 7  | 3 - 3 | Yes     | 4,798,490
1038  | 1038  | PPNation         | 11  | 3 - 3 | Yes     | 4,792,400
1039  | 1039  | Paranoia         | 11  | 3 - 3 | Yes     | 4,783,980
1040  | 1040  | EmilShop         | 6  | 3 - 3 | Yes     | 4,777,224
1041  | 1041  | Nier             | 13  | 3 - 3 | Yes     | 4,774,437
1042  | 1042  | Wayfarer         | 10  | 2 - 4 | Yes     | 4,772,735
1043  | 1043  | 언더월드단            | 1  | 3 - 3 | Yes     | 4,764,202
1044  | 1044  | Exodus           | 12  | 3 - 3 | Yes     | 4,763,325
1045  | 1045  | Sinners          | 13  | 3 - 3 | Yes     | 4,753,359
1046  | 1046  | DarkGods@        | 10  | 3 - 3 | Yes     | 4,752,437
1047  | 1047  | TitsAhoy         | 7  | 4 - 2 | Yes     | 4,747,036
1048  | 1048  | Padorumu         | 10  | 3 - 3 | Yes     | 4,741,169
1049  | 1049  | Омут             | 1  | 3 - 3 | Yes     | 4,732,488
1050  | 1050  | Amimir           | 6  | 2 - 4 | Yes     | 4,712,489
1051  | 1051  | Valhalla         | 5  | 3 - 3 | Yes     | 4,706,206
1052  | 1052  | Hollow           | 10  | 3 - 3 | Yes     | 4,699,595
1053  | 1053  | LoveLive         | 3  | 3 - 3 | Yes     | 4,691,966
1054  | 1054  | ☆Waifus☆         | 13  | 3 - 3 | Yes     | 4,672,081
1055  | 1055  | Heartの月          | 9  | 3 - 3 | Yes     | 4,664,782
1056  | 1056  | Keyblade         | 6  | 2 - 4 | Yes     | 4,645,046
1057  | 1057  | NobleGuard       | 11  | 2 - 4 | Yes     | 4,631,699
1058  | 1058  | Nazarick         | 6  | 3 - 3 | Yes     | 4,624,940
1059  | 1059  | Bananas!         | 12  | 2 - 4 | Yes     | 4,616,291
1060  | 1060  | Fate             | 3  | 2 - 4 | Yes     | 4,605,446
1061  | 1061  | loss.jpg         | 5  | 2 - 4 | Yes     | 4,587,737
1062  | 1062  | Outlanders       | 5  | 3 - 3 | Yes     | 4,583,345
1063  | 1063  | RadiantBunnies   | 9  | 2 - 4 | Yes     | 4,579,937
1064  | 1064  | GvZ              | 11  | 2 - 4 | Yes     | 4,566,456
1065  | 1065  | Bloodlust        | 1  | 2 - 4 | Yes     | 4,565,119
1066  | 1066  | Va11-Hall-A      | 10  | 3 - 3 | Yes     | 4,564,468
1067  | 1067  | Redempt          | 6  | 2 - 4 | Yes     | 4,563,932
1068  | 1068  | SunBro           | 3  | 3 - 3 | Yes     | 4,546,597
1069  | 1069  | Tragedia         | 8  | 2 - 4 | Yes     | 4,543,088
1070  | 1070  | Mirage           | 8  | 2 - 4 | Yes     | 4,539,294
1071  | 1071  | Slayer's         | 5  | 2 - 4 | Yes     | 4,537,685
1072  | 1072  | Grimgar          | 3  | 3 - 3 | Yes     | 4,535,662
1073  | 1073  | Wonderland       | 4  | 3 - 3 | Yes     | 4,532,885
1074  | 1074  | OwO              | 8  | 3 - 3 | Yes     | 4,520,361
1075  | 1075  | Mewtaku          | 1  | 2 - 4 | Yes     | 4,519,923
1076  | 1076  | Elysian          | 12  | 2 - 4 | Yes     | 4,519,599
1077  | 1077  | Hypnotic         | 12  | 3 - 3 | Yes     | 4,519,581
1078  | 1078  | indémnis         | 12  | 2 - 4 | Yes     | 4,513,175
1079  | 1079  | ALICE            | 4  | 2 - 4 | Yes     | 4,508,145
1080  | 1080  | Re:Fluff✿        | 6  | 3 - 3 | Yes     | 4,506,079
1081  | 1081  | Crows            | 9  | 2 - 4 | Yes     | 4,505,339
1082  | 1082  | 천하태평             | 12  | 4 - 2 | Yes     | 4,504,644
1083  | 1083  | Nemocus          | 9  | 3 - 3 | Yes     | 4,493,611
1084  | 1084  | 블랙말랑카우           | 11  | 3 - 3 | Yes     | 4,487,458
1085  | 1085  | Insomnia         | 10  | 2 - 4 | Yes     | 4,484,059
